id, name, tw_url, al_url, li_url, followers, num_investments
51,"Seth Goldstein",http://twitter.com/#!/seth,https://angel.co/seth,http://www.linkedin.com/in/sethg,2946,20
52,"Jon Steinberg",http://twitter.com/jonsteinberg,https://angel.co/jonsteinberg,http://www.linkedin.com/in/jonsteinberg,1773,3
53,"Matt Coffin",http://twitter.com/#!/mattcoffin,https://angel.co/mattcoffin,http://www.linkedin.com/in/mattcoffin,1743,40
54,"Benjamin Ling",http://twitter.com/#!/bling0,https://angel.co/bling0,http://www.linkedin.com/pub/benjamin-ling/1/405/43a,7948,90
55,"Ken Glass",http://twitter.com/ken_glass,https://angel.co/ken_glass,http://www.linkedin.com/pub/ken-glass/0/76/44b,410,25
56,"Jay Levy",http://twitter.com/#!/ZelkovaVC,https://angel.co/jay,http://www.linkedin.com/in/jaylevy,2649,40
57,"Jon Staenberg",http://twitter.com/staenman,https://angel.co/staenman,http://www.linkedin.com/in/jonstaenberg,4079,14
58,"Michael Parekh",http://twitter.com/#!/MParekh,https://angel.co/mparekh,http://www.linkedin.com/in/michaelparekh,4791,16
60,"Christoph Janz",http://twitter.com/#!/chrija,https://angel.co/chrija,http://www.linkedin.com/in/christophjanz,3401,27
61,"Brian Garrett",http://twitter.com/#!/crosscutvc,https://angel.co/briangarrett,http://www.linkedin.com/pub/brian-garrett/1/103/8b0,847,19
62,"Furqan Nazeeri",http://twitter.com/altgate,https://angel.co/altgate,http://www.linkedin.com/in/nazeeri,464,0
63,"Josh Stylman",http://www.twitter.com/jstylman,https://angel.co/jstylman,http://www.linkedin.com/in/stylman,3004,25
64,"Jonathan Abrams",http://twitter.com/abrams,https://angel.co/abrams,http://www.linkedin.com/in/jonathanabrams,11284,32
65,"Ben Smith",http://twitter.com/#!/bentsmithfour,https://angel.co/bentsmithfour,http://www.linkedin.com/in/bentsmith4,1398,40
66,"Stephen DeBerry",http://twitter.com/stephendeberry,https://angel.co/stephendeberry,http://www.linkedin.com/in/stephendeberry,1432,22
67,"Howard Lindzon",http://twitter.com/howardlindzon,https://angel.co/howardlindzon,http://www.linkedin.com/in/howardlindzon,6414,64
68,"Ofer Ronen",http://twitter.com/#!/oferronen,https://angel.co/oferronen,http://www.linkedin.com/in/oferronen,1440,6
69,"Jason Stoffer",http://twitter.com/#!/jstoffer,https://angel.co/jstoffer,http://www.linkedin.com/in/jstoffer,629,9
70,"Ron Bouganim",http://twitter.com/ronboug,https://angel.co/ronboug,http://www.linkedin.com/in/ronbouganim,898,4
71,"David Sacks",http://twitter.com/DavidSacks,https://angel.co/davidsacks,http://www.linkedin.com/in/davidoliversacks,7108,54
72,"Richard Chen",http://twitter.com/rchen,https://angel.co/rchen,http://www.linkedin.com/in/chenrich,3134,72
73,"Tony  Conrad",https://twitter.com/tonysphere,https://angel.co/tonysphere,,2300,27
74,"Nova Spivack",http://twitter.com/#!/novaspivack,https://angel.co/novaspivack,http://www.linkedin.com/in/novaspivack,2995,14
75,"Phineas Barnes",http://twitter.com/phineasb,https://angel.co/phineasb,http://www.linkedin.com/in/phineasbarnes,1983,4
76,"Eric Wiesen",http://twitter.com/ewiesen,https://angel.co/ewiesen,http://www.linkedin.com/in/ewiesen,740,9
77,"Mitch Kapor",http://twitter.com/mkapor,https://angel.co/mkapor,http://www.linkedin.com/pub/mitch-kapor/7/614/a80,24521,91
78,"Chris Yeh",http://twitter.com/chrisyeh,https://angel.co/chrisyeh,http://www.linkedin.com/in/chrisyeh,4465,32
79,"Christine Herron",http://twitter.com/#!/christine,https://angel.co/christine,http://www.linkedin.com/in/christineherron,4388,17
80,"Brian McClendon",http://twitter.com/#!/bmcclendon,https://angel.co/brian,http://www.linkedin.com/in/brianmcclendon,1730,27
81,"Jim Young",http://twitter.com/jimydotorg,https://angel.co/jimydotorg,,2898,23
82,"Charlie O'Donnell",http://www.twitter.com/ceonyc,https://angel.co/ceonyc,http://www.linkedin.com/in/ceonyc,5559,12
83,"George Zachary",http://twitter.com/georgezachary,https://angel.co/georgezachary,http://www.linkedin.com/pub/george-zachary/2/913/404,13800,44
84,"Joshua Baer",http://twitter.com/joshuabaer,https://angel.co/joshuabaer,http://www.linkedin.com/in/joshuabaer,8588,58
85,"Paige Craig",http://twitter.com/paigecraig,https://angel.co/paigecraig,http://www.linkedin.com/in/paigecraig,7066,86
86,"Travis Kalanick",http://twitter.com/konatbone,https://angel.co/konatbone,http://www.linkedin.com/pub/travis-kalanick/0/6/3,4798,13
87,"Arjun Sethi",http://twitter.com/#!/arjunsethi,https://angel.co/arjunsethi,http://www.linkedin.com/in/asethi,1538,11
88,"Gabriel Weinberg",http://twitter.com/yegg,https://angel.co/yegg,,3995,17
89,"Max Niederhofer",http://twitter.com/maxniederhofer,https://angel.co/maxniederhofer,http://uk.linkedin.com/in/maxniederhofer,3107,9
90,"David King",http://twitter.com/deekay,https://angel.co/deekay,http://www.linkedin.com/pub/david-king/0/772/1ba,1371,7
91,"Othman Laraki",http://twitter.com/othman,https://angel.co/othman,http://www.linkedin.com/pub/othman-laraki/0/23/202,2467,28
92,"Aydin Senkut",http://twitter.com/asenkut,https://angel.co/asenkut,http://www.linkedin.com/in/aydins,6601,81
93,"Simeon Simeonov",http://twitter.com/simeons,https://angel.co/simeons,http://www.linkedin.com/in/simeons,1460,7
94,"Ramesh Haridas",http://twitter.com/#!/rameshharidas,https://angel.co/rameshharidas,http://www.linkedin.com/in/rharidas,1550,30
95,"Tom McInerney",http://twitter.com/tgmtgm,https://angel.co/tgmtgm,http://www.linkedin.com/in/tommcinerney,3840,38
96,"Eileen Burbidge",http://twitter.com/eileentso,https://angel.co/eileentso,http://uk.linkedin.com/in/eileenburbidge,2669,33
97,"Bob Pasker",http://twitter.com/rbpasker,https://angel.co/rbpasker,http://www.linkedin.com/in/rbpasker,2544,25
98,"Bill Bryant",http://twitter.com/seattlebill,https://angel.co/seattlebill,http://www.linkedin.com/in/billbryant,413,10
99,"Eric Paley",http://twitter.com/epaley,https://angel.co/epaley,http://www.linkedin.com/ppl/webprofile?vmi=&id=4422&pvs=pp&authToken=DT5y&authType=name&locale=en_US&trk=ppro_viewmore&lnk=vw_pprofile,2450,50
100,"Ram Shriram",,https://angel.co/ram,,2644,22
101,"Mike Maples",http://twitter.com/M2Jr,https://angel.co/m2jr,http://www.linkedin.com/in/maples,15312,46
102,"Ed Sim",http://twitter.com/#!/edsim,https://angel.co/edsim,http://www.linkedin.com/in/edsim,1653,31
103,"Fadi Bishara",http://twitter.com/techventure,https://angel.co/fbishara,http://www.linkedin.com/in/fadibishara,2587,4
104,"Ann Miura Ko",http://twitter.com/annimaniac,https://angel.co/annimaniac,http://www.linkedin.com/in/amiura,1689,26
105,"Andrea Zurek",http://twitter.com/andreazurek,https://angel.co/andreazurek,http://www.linkedin.com/pub/andrea-zurek/0/185/73,3673,59
106,"Bipul Sinha",http://twitter.com/bipulsinha,https://angel.co/bipulsinha,http://www.linkedin.com/in/bipulsinha,491,9
107,"Dan Porter",http://twitter.com/tfadp,https://angel.co/tfadp,http://www.linkedin.com/in/danporter,1034,5
108,"Joshua Schachter",http://twitter.com/joshu,https://angel.co/joshu,http://www.linkedin.com/pub/joshua-schachter/0/1/103,7206,76
109,"Chris DeVore",http://twitter.com/crashdev,https://angel.co/crashdev,http://www.linkedin.com/in/devore,1713,40
110,"Robin Klein",http://twitter.com/#!/robinklein,https://angel.co/robinklein,http://uk.linkedin.com/in/robinklein,2173,31
111,"Thomas Korte",http://twitter.com/thomask,https://angel.co/thomask,http://www.linkedin.com/in/thomaskorte,10939,81
112,"David Shen",http://twitter.com/dshen,https://angel.co/dshen,http://www.linkedin.com/in/dwshen,1353,27
113,"David S. Rose",http://twitter.com/davidsrose,https://angel.co/davidsrose,,1553,51
114,"Shervin Pishevar",http://twitter.com/shervin,https://angel.co/shervin,http://www.linkedin.com/in/shervindotcom,12411,89
115,"Pejman Nozad",http://twitter.com/pejmannozad,https://angel.co/pejmannozad,http://www.linkedin.com/in/pejman,3498,64
116,"Jeremy Stoppelman",http://twitter.com/jeremys,https://angel.co/jeremys,http://www.linkedin.com/in/jeremystoppelman,7048,23
117,"Joe Greenstein",http://twitter.com/joseph77b,https://angel.co/joseph77b,http://www.linkedin.com/in/joegreenstein,2321,26
118,"Andy Sack",http://twitter.com/andysack,https://angel.co/andysack,http://www.linkedin.com/pub/andy-sack/0/14/522,1757,18
119,"Rob Hayes",http://twitter.com/robhayes,https://angel.co/robhayes,http://www.linkedin.com/in/robhayes,3287,17
120,"Brad Feld",http://twitter.com/Bfeld,https://angel.co/bfeld,http://www.linkedin.com/in/bfeld,25037,39
121,"Rob Go",http://twitter.com/robgo,https://angel.co/robgo,http://www.linkedin.com/in/robgo,4498,23
122,"Ariel Poler",http://twitter.com/Ariel,https://angel.co/ariel,http://www.linkedin.com/in/arielpoler,8687,54
123,"Aaron Patzer",http://twitter.com/apatzer,https://angel.co/apatzer,http://www.linkedin.com/in/apatzer,4170,12
124,"Jason Calacanis",http://twitter.com/jason,https://angel.co/jason,http://www.linkedin.com/in/jasoncalacanis,28970,55
125,"Ho Nam",http://twitter.com/HoNam,https://angel.co/honam,http://www.linkedin.com/in/honam,362,16
126,"Georges Harik",http://twitter.com/gharik,https://angel.co/gharik,http://www.linkedin.com/pub/georges-harik/1/927/457,2832,51
127,"Rob Lord",http://twitter.com/r0bl0rd,https://angel.co/r0bl0rd,http://www.linkedin.com/in/roblord,1353,11
128,"Ash Patel",http://twitter.com/#!/ash_patel,https://angel.co/ash,http://www.linkedin.com/in/patelash,5498,61
129,"Andy Weissman",http://twitter.com/aweissman,https://angel.co/aweissman,http://www.linkedin.com/in/andrewweissman,4536,20
131,"Matt Mullenweg",http://twitter.com/PHOTOMATT,https://angel.co/photomatt,http://www.linkedin.com/in/mattm,13091,59
132,"Satish Dharmaraj",http://twitter.com/satishd,https://angel.co/satishd,http://www.linkedin.com/pub/satish-dharmaraj/0/30/684,2449,10
133,"Brian Norgard",http://twitter.com/briannorgard,https://angel.co/briannorgard,http://www.linkedin.com/in/norgard,1112,4
134,"Mike Hirshland",http://twitter.com/#!/VCMike,https://angel.co/vcmike,http://www.linkedin.com/in/mikehirshland,2270,32
135,"Roger Ehrenberg",http://twitter.com/infoarbitrage,https://angel.co/infoarbitrage,http://www.linkedin.com/in/rehrenberg,4780,50
136,"Bradley Horowitz",http://twitter.com/#!/elatable,https://angel.co/elatable,http://www.linkedin.com/in/bradleyhorowitz,5088,2
137,"Peter Chane",http://twitter.com/peterchane,https://angel.co/peterchane,http://www.linkedin.com/in/peterchane,2753,8
138,"Josh Felser",http://twitter.com/JoshMedia,https://angel.co/joshmedia,http://www.linkedin.com/in/joshfelser,4480,46
139,"Mark Suster",http://twitter.com/Msuster,https://angel.co/msuster,http://www.linkedin.com/in/marksuster,17005,16
140,"Keith Rabois",http://twitter.com/Rabois,https://angel.co/rabois,http://www.linkedin.com/in/keith,17315,77
141,"Saar Gur",http://twitter.com/saarsaar,https://angel.co/saarsaar,http://www.linkedin.com/in/saargur,4136,28
142,"Salil Deshpande",http://twitter.com/salil,https://angel.co/salil,http://linkedin.com/in/salil,1904,32
143,"David Cohen",http://twitter.com/DavidCohen,https://angel.co/davidcohen,http://www.linkedin.com/in/davidgcohen,6796,124
144,"Dave McClure",http://twitter.com/davemcclure,https://angel.co/davemcclure,http://linkedin.com/in/davemcclure,33258,459
145,"Bill Lee",http://twitter.com/westcoastbill,https://angel.co/westcoastbill,,3071,27
146,"Jeff Clavier",http://twitter.com/jeff,https://angel.co/jeff,http://www.linkedin.com/in/jeffclavier,13674,79
147,"James Hong",http://twitter.com/jhong,https://angel.co/jhong,http://www.linkedin.com/in/thehonger,5493,42
148,"Auren Hoffman",http://twitter.com/auren,https://angel.co/auren,http://www.linkedin.com/in/auren,5560,52
149,"Jon Callaghan",http://twitter.com/jcal7,https://angel.co/jcal7,http://www.linkedin.com/pub/jon-callaghan/0/18/9a5,1382,30
150,"Chris Sheehan",http://twitter.com/c_sheehan,https://angel.co/c_sheehan,http://www.linkedin.com/pub/chris-sheehan/0/59/886,1313,22
151,"Jeff Fagnan",,https://angel.co/jfagnan,http://www.linkedin.com/pub/jeff-fagnan/0/18/7b0,3340,42
152,"Michael Dearing",http://twitter.com/mcgd,https://angel.co/mcgd,http://www.linkedin.com/in/michaeldearing,2734,44
153,"Dharmesh Shah",http://twitter.com/dharmesh,https://angel.co/dharmesh,http://www.linkedin.com/in/dharmesh,15964,64
154,"Manu Kumar",http://twitter.com/manukumar,https://angel.co/manukumar,http://www.linkedin.com/in/sneaker,6432,18
155,"Naval Ravikant",http://twitter.com/naval,https://angel.co/naval,http://www.linkedin.com/in/navalr,33390,129
156,"Taj Haslani",http://twitter.com/TajHaslani,https://angel.co/tajhaslani,http://www.linkedin.com/in/tajhaslani,240,5
160,"Christopher Muenchhoff",http://twitter.com/#!/christophermu,https://angel.co/christopherm,http://de.linkedin.com/pub/christopher-muenchhoff/0/7/a2,2700,18
162,"Eric Hahn",,https://angel.co/erichahn,http://www.linkedin.com/in/ehahn,1026,5
163,"Alex Taussig",http://twitter.com/#!/ataussig,https://angel.co/ataussig,http://www.linkedin.com/in/ataussig,1711,11
164,"Rajeev Kulkarni",http://twitter.com/rajeev_kulkarni,https://angel.co/45ideas,http://www.linkedin.com/in/rajeevkulkarni,140,0
165,"Dave Whorton",http://twitter.com/wortie,https://angel.co/dwhorton,http://www.linkedin.com/in/dwhorton,509,15
166,"Vinod Keni",http://twitter.com/VinodKeni,https://angel.co/vinodkeni,http://in.linkedin.com/in/vinodkeni,214,0
167,"Jim Lanzone",http://twitter.com/jlanzone,https://angel.co/jlanzone,http://www.linkedin.com/in/jimlanzone,645,6
172,"Mark Wachen",,https://angel.co/markwachen,http://www.linkedin.com/pub/mark-wachen/0/66/376,843,17
173,"John Philip Green",http://twitter.com/johnphilipgreen,https://angel.co/jpg,http://ca.linkedin.com/in/johngreen,1178,0
175,"Gary Kremen",http://twitter.com/#!/gkremen,https://angel.co/gkremen,http://www.linkedin.com/in/gkremen,1291,5
179,"Richard Yen",http://twitter.com/richardyen,https://angel.co/richardyen,http://www.linkedin.com/in/richarddyen,204,2
180,"David Li",http://twitter.com/davidli,https://angel.co/davidli,http://www.linkedin.com/in/davidcli,812,8
181,"Tom Ryan",http://twitter.com/thomasryan,https://angel.co/thomasryan,http://www.linkedin.com/in/thomasvryan,3518,23
182,"Bart Lorang",http://twitter.com/bartlorang,https://angel.co/bartlorang,http://www.linkedin.com/in/bartlorang,1814,25
185,"James P. Mertz",http://www.twitter.com/jamesmertz,https://angel.co/jamesmertz,,262,9
186,"Andrew Parker",http://twitter.com/andrewparker,https://angel.co/andrewparker,http://www.linkedin.com/in/andrewparker,1324,2
187,"Ethan Kurzweil",http://www.twitter.com/ethankurz,https://angel.co/ethankurz,http://www.linkedin.com/in/ethankurz,2566,12
188,"David Lee",http://twitter.com/daslee,https://angel.co/daslee,http://www.linkedin.com/pub/david-lee/1/195/314,7592,115
191,"Michael Robertson",http://twitter.com/mp3michael,https://angel.co/mp3michael,http://www.linkedin.com/pub/michael-robertson/8/b5b/932,730,2
192,"Darren Herman",http://www.twitter.com/dherman76,https://angel.co/dherman76,http://www.linkedin.com/in/darrenherman,942,12
193,"Michael Yavonditte",http://twitter.com/mikeyavo,https://angel.co/mikeyavo,http://www.linkedin.com/in/yavonditte,1916,26
194,"Marc Nathan",http://twitter.com/#!/marc1919,https://angel.co/marc1919,http://www.linkedin.com/in/marc1919,929,4
195,"Devon George",http://twitter.com/#!/dgeorge,https://angel.co/dgeorge,http://www.linkedin.com/in/devongeorge,831,20
196,"Joe Medved",http://www.twitter.com/joevc,https://angel.co/joevc,http://www.linkedin.com/in/joemedved,1444,26
198,"Todd Federman",,https://angel.co/toddfederman,http://www.linkedin.com/in/toddfederman,508,24
200,"Chirag Chaman",,https://angel.co/cchaman,http://www.linkedin.com/in/cchaman,342,6
201,"Alexander Muse",http://twitter.com/#!/amuse,https://angel.co/amuse,http://www.linkedin.com/in/amuse,1504,7
202,"Fred Krueger",http://twitter.com/#!/frkrueger,https://angel.co/frkrueger,http://www.linkedin.com/in/frkrueger,676,11
203,"Katie Rae",http://twitter.com/ktrae,https://angel.co/ktrae,http://www.linkedin.com/in/katierae,1943,4
206,"Ty Danco",http://twitter.com/tydanco,https://angel.co/tydanco,http://www.linkedin.com/in/tydanco,2984,54
208,"Scott And Cyan Banister",http://twitter.com/#!/cyantist,https://angel.co/cyantist,http://www.linkedin.com/in/banister,8280,94
209,"Chris Sacca",http://twitter.com/sacca,https://angel.co/sacca,,21406,84
210,"Matt Witheiler",http://www.twitter.com/witheiler,https://angel.co/witheiler,http://www.linkedin.com/in/mwitheiler,402,5
211,"Mike Brown Jr",http://twitter.com/#!/MikeBrownJr,https://angel.co/mikebrownjr,http://www.linkedin.com/in/browmich,1789,26
212,"Will Herman",http://twitter.com/willherman,https://angel.co/willherman,http://www.linkedin.com/in/willherman,539,23
215,"Rich Levandov ",https://twitter.com/richlevandov,https://angel.co/richlevandov,,1858,36
216,"Kenny Van Zant",http://twitter.com/kennyvz,https://angel.co/kennyvz,http://www.linkedin.com/in/kennyvanzant,3525,30
219,"Tim Ferriss",http://twitter.com/tferriss,https://angel.co/tim,http://www.linkedin.com/in/timferriss,13205,34
220,"Don Hutchison",http://twitter.com/#!/dphutch,https://angel.co/dphutch,http://www.linkedin.com/in/dphutch,2802,60
221,"Michael Blend",,https://angel.co/blender-2,http://www.linkedin.com/in/blender,171,7
222,"Zach Weinberg",http://twitter.com/zachweinberg,https://angel.co/zachweinberg,http://www.linkedin.com/in/zachweinberg,1299,32
224,"Janis Krums",http://twitter.com/#!/jkrums,https://angel.co/jkrums,http://www.linkedin.com/in/janiskrums,470,9
237,"Richard De Silva",http://www.twitter.com/rdesilva,https://angel.co/rdesilva,http://www.linkedin.com/in/rdesilva,291,9
244,"Sean Glass",http://twitter.com/seanglass,https://angel.co/seanglass,http://www.linkedin.com/in/seanglass,1994,38
246,"Kip McClanahan",http://twitter.com/kipmcc,https://angel.co/kipmcc,http://www.linkedin.com/in/kipmcclanahan,1702,11
254,"Mike Katz",http://twitter.com/mbkatz,https://angel.co/mbkatz,http://www.linkedin.com/in/michaelbkatz,455,7
256,"Hampus Jakobsson",http://twitter.com/#!/hajak,https://angel.co/hajak,http://www.linkedin.com/in/hampusjakobsson,463,17
269,"Bruce Taragin",http://twitter.com/brucetaragin,https://angel.co/brucetaragin,http://www.linkedin.com/in/brucetaragin,340,10
271,"Sim Blaustein",http://twitter.com/sblaustein,https://angel.co/sblaustein,http://www.linkedin.com/pub/sim-blaustein/0/30/416,1943,19
273,"Adam Jackson",http://twitter.com/adamjacksonsf,https://angel.co/adamjackson,http://www.linkedin.com/in/ajackson,1985,11
275,"Brian McLoughlin",http://twitter.com/bmcloughlin,https://angel.co/bmcloughlin,http://www.linkedin.com/in/bmcloughlin,520,13
276,"Brendan Baker",http://twitter.com/brendanbaker,https://angel.co/brendan,http://www.linkedin.com/in/brendanbaker,5910,1
277,"Josh Kopelman",http://www.twitter.com/joshk,https://angel.co/joshk,http://www.linkedin.com/in/jkopelman,17899,52
279,"Damion Hankejh",http://twitter.com/hankejh,https://angel.co/hankejh,http://www.linkedin.com/in/hankejh,725,4
282,"Rob Weber",http://twitter.com/robertjweber,https://angel.co/robertjweber,http://www.linkedin.com/in/robertjweber,313,16
284,"Chris Gill",http://twitter.com/LaunchSV,https://angel.co/launchsv,http://www.linkedin.com/profile?viewProfile=&key=920665&trk=tab_pro,108,2
289,"Ellen Salisbury",http://twitter.com/esalisbury,https://angel.co/esalisbury,http://www.linkedin.com/in/esalisbury,81,3
290,"Max Levchin",http://twitter.com/mlevchin,https://angel.co/mlevchin,http://www.linkedin.com/in/maxlevchin,15660,40
291,"Howard L Morgan",http://twitter.com/HLMorgan,https://angel.co/hlmorgan,http://www.linkedin.com/in/hlmorgan,1263,16
294,"Bryan Birsic",http://twitter.com/birsic,https://angel.co/birsic,http://www.linkedin.com/in/bryanbirsic,733,1
297,"Joyce Chung",,https://angel.co/joycechung,http://www.linkedin.com/pub/joyce-chung/9/42b/939,183,3
299,"John Zeisler",,https://angel.co/jzeisler,http://www.linkedin.com/in/johnzeisler,187,14
300,"David Tisch",http://twitter.com/davetisch,https://angel.co/davidtisch,http://www.linkedin.com/in/davetisch,10824,103
301,"Dave Graham",http://twitter.com/davidzonabay,https://angel.co/dave-graham,http://www.linkedin.com/pub/david-graham/1/212/970,966,26
303,"Kristian Andersen",https://twitter.com/kristianindy,https://angel.co/kristianindy,http://www.linkedin.com/in/kandersen1,541,27
306,"Maneesh Arora",http://twitter.com/maneesh1,https://angel.co/maneesh,http://www.linkedin.com/in/maneesharora,2585,46
307,"Bill Trenchard",http://twitter.com/#!/btrenchard,https://angel.co/billtrenchard,http://www.linkedin.com/in/billtrenchard,3016,28
308,"John Ives",http://twitter.com/jives,https://angel.co/jives,http://www.linkedin.com/pub/john-ives/0/111/210,427,14
309,"Eghosa Omoigui",http://twitter.com/#!/EghosaO,https://angel.co/eghosao,http://www.linkedin.com/in/eghosaomoigui,2359,19
310,"Guy Gamzu",http://twitter.com/#!/guygamzu,https://angel.co/gamzu,http://il.linkedin.com/pub/guy-gamzu/0/165/7a1,691,13
318,"Enzo Villani",https://twitter.com/vacapital,https://angel.co/enzovillani,http://www.linkedin.com/in/enzovillani,263,4
319,"Nihal Mehta",http://twitter.com/#!/nihalmehta,https://angel.co/nihalmehta,http://www.linkedin.com/in/nihalmehta,2185,69
326,"Nick MacShane",,https://angel.co/nickmacshane,http://www.linkedin.com/in/nickmacshane,316,14
327,"William Bao Bean",http://twitter.com/#!/williambaobean,https://angel.co/williambaobean,http://www.linkedin.com/in/williambaobean,2159,30
328,"Anita Brearton",,https://angel.co/abrearton,http://www.linkedin.com/in/anitabrearton,247,3
332,"Kent Goldman",http://www.twitter.com/kentgoldman,https://angel.co/kentgoldman,http://www.linkedin.com/in/kentgoldman,3652,8
334,"Joel Espelien",http://twitter.com/espelienjb,https://angel.co/espelienjb,http://www.linkedin.com/pub/joel-espelien/3/95b/844,230,4
339,"Dave Morin",http://twitter.com/davemorin,https://angel.co/davemorin,http://www.linkedin.com/in/davemorin,25728,92
340,"Jim Mackay",http://twitter.com/@canuckinco,https://angel.co/canuckinco,http://www.linkedin.com/in/jimmackay,259,7
342,"Russell Fradin",http://twitter.com/rfradin,https://angel.co/rfradin,http://www.linkedin.com/in/rfradin,776,31
352,"David Weiden",,https://angel.co/davidweiden,http://www.linkedin.com/pub/david-weiden/0/2/205,1569,3
361,"Prerna Gupta and Parag Chordia",http://twitter.com/prernagupta,https://angel.co/prernagupta,http://www.linkedin.com/in/prerna,594,6
362,"John Frankel",http://twitter.com/john_frankel,https://angel.co/john_frankel,http://www.linkedin.com/in/johnfrankel,5238,56
